resourceid,Email,lab,ID,status,title,location,zipcode,age,filename,transcription,topic,type,keywords,credit,lables,insta,hashtag,twitter,facebook
19,,2015 Discovery - City Hall,Beta008,Transcribed,Pernicious History,between Cobbs Creek & Clark Park,19143,27,008.jpg,"I would appreciate a monument depicting the //progress///development/gentrification occurring in West Philadelphia. My monument would show a street shot of Baltimore Avenue (specifically Baltimore & 49th/50th). Above the street scene, there would be a mushroom cloud hanging in the air, in reference to the MOVE bombing.","History, MOVE, Neighborhoods, Philadelphia, Violence, Gentrification",Other No Form,"MOVE, Gentrification, Philadelphia",,,,,,
18,,2015 Discovery - City Hall,SS2,Transcribed,Friends Are Necessary,6th + Fairmount,19123,32,beta004.jpg,,Uplifting,Other No Form,Friends,,,,,,
10,,2015 Discovery - City Hall,6,Transcribed,Hoods,Love Park,19143,30,6.jpg,Philly is the city of neighborhoods. A monument that represents each neighborhood and its connection to others. A digital screen that would allow you to zoom in on different neighborhoods to learn more.,"Inclusivity, Neighborhoods, Technology","Digital, Interactive",Neighboorhoods,,,,,,
5084,,Logan Circle,LS196,Transcribed,Philadelphia Whispers,Front of Art Museum,33612,73,LS196_20171116_0001.jpg,"The founding father would be [illegible] of philly of today. It has been through a lot, war + peace, love + hate, bombs + bums. But  [illegible], not just for philly, but for all men to und.","Figure, History, Philadelphia",Other No Form,"founding father, war and peace, love and hate",Harris,,,,,
5083,,Logan Circle,LS197,Transcribed,?,Ben Franklin Parkway,19130,39,LS197_20171116_0001.jpg,"Monument to a famous local female scientist who deserves more recognition for her accomplishments 

Could show the person and/or her work","Figure, Philadelphia, Technology, Women",Other No Form,"female, scientist, local",Adrian Shieh,,,,,
5082,,Marconi Plaza,MP202,Transcribed,Beuty,"In the city hall, in NY a'tyior in Korea",19148,18,MP200_0002.jpg,"-I think people who love fashion, style is the most important things in their life.

-I also think that everyone has a unique style or ways of dressing on a daily basis... People all around the world doesn't have similarity in diversity when it comes to fashion, every style is welcome.",Culture,Sculpture Statue,"Style, fashion, make up, culture, diversity",Esther-san,A statue of a purse with the label //style// a statute of a mannequin torso with the label //fashion// and a mannequin head with the label //makeup//,,,,
5081,,Marconi Plaza,MP201,Transcribed,Cycling Zooooooone....,Center City,19147,21,MP200_0001.jpg,,Sports,Sculpture Statue,"Cycling, wheels",Jaron,"A visual of a wheel and its components. 

Quarte (center)

Cog (avartz)

Spokes (avartz)

Rim (avartz)",,,,
5080,,Norris Square,NS189,Transcribed,Semasae C,Love Park,19139,16,ns183_0002.jpg,I think a statue of berokoboma should be placed in Philadelphia because he was a great president and did all he could for country and yet he deserves it all. He loves America.,"Figure, History, Philadelphia, Politics",Sculpture Statue,America,Semasae C,,,,,
5079,,Norris Square,NS184,Transcribed,Gabani A.,Center City,19134,18,ns183_0001.jpg,I would like Joe Fraiser to be a statue in Philadelphia pa. Because because he was one of the greatest boxers and still is,"Figure, History, Philadelphia, Sports",Other No Form,"Joe Fraiser, Philadelphia, Boxing",Gaboni A,,,,,
5078,,Logan Circle,LS195,Transcribed,[Untitled],Temple campus/ playground by Temple,19146,22,LS195_20171115_0001.jpg,#NAME?,"Art, Youth","Interactive, Sculpture Statue","chalk board, chalk paint, pyramid, LED/LCD lights",Arthur,#NAME?,husshking,,,
